,Activity Name (TO CHANGE TO ACTIVITY CODE),Grounds Requirement,Freq Numeral,Freq Literal,Note on Trigger Condition,Activity Type,Activity Procedure Recommended Action,Trade,Wrench Time (H),Asset Offline?,Resources,Applies to Class,Class ID,Applies to Product-Line,Parent Activity,Specialization from Parent,Children Activity,Comments,Parent ID,Act ID,Failure Mode,Activity Code
0,SP 36A First Aid Station Inspection for Less Than 5 Workers,"https://www.notion.so/Ontario-Regulation-1101-90-Section-8-1-25663e0e58ef478893663346fd6b9a53, https://www.notion.so/Ontario-Regulation-1101-90-Section-373448acde82425e8cd6bc0e46e39fb4, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-1-1-6-Frequency-6dd3cb8ae09d4583a56b6170a1914b5b",4.0,Month,,Inspect,"1) Follow the ""First Aid Station"" section in the "" First Aid Requirements"" (SP 36) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-requirements.pdf ]
2) Confirm contents meet Reg. 1101 requirements. Follow appendix A - First Aid Checklist 1-5 Workers. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-workers-1-5.pdf ]
3) For replacement of the First aid kit items, contact City Stores.
4) Complete the inspection record with the date, person name, and signature of the person performing the inspection.",PT,0.25,No,,,,,,,,,,3198c5403d3047e0bfebe1514f26f280,,
1,"SP 36B First Aid Station Inspection for  more than 5, less than 15 Workers","https://www.notion.so/Ontario-Regulation-1101-90-Section-373448acde82425e8cd6bc0e46e39fb4, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-1-1-6-Frequency-6dd3cb8ae09d4583a56b6170a1914b5b, https://www.notion.so/Ontario-Regulation-1101-90-Section-9-1-aeb40f0f4f8349de998c65c3063f533e",4.0,Month,,Inspect,"1) Follow the ""First Aid Station"" section in the "" First Aid Requirements"" (SP 36) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-requirements.pdf ]
2) Confirm contents meet Reg. 1101 requirements. Follow appendix B - First Aid Checklist 6-15 Workers. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-workers-6-15.pdf ]
3) For replacement of the First aid kit items, contact City Stores.
4) Complete the inspection record with the date, person name, and signature of the person performing the inspection.",PT,0.25,,,,,,,,,,,b2e331c8945d4cd48eec90d5227752f2,,
2,"SP 36C First Aid Station Inspection for  more than 15, less than 200 Workers","https://www.notion.so/Ontario-Regulation-1101-90-Section-10-1-0fa95f0c248b402699562145528403c3, https://www.notion.so/Ontario-Regulation-1101-90-Section-373448acde82425e8cd6bc0e46e39fb4, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-1-1-6-Frequency-6dd3cb8ae09d4583a56b6170a1914b5b",4.0,Month,,Inspect,"1) Follow the ""First Aid Station"" section in the "" First Aid Requirements"" (SP 36) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-requirements.pdf ]
2) Confirm contents meet Reg. 1101 requirements. Follow appendix C - First Aid Checklist 16-199 Workers. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-workers-16-199.pdf ]
3) For replacement of the First aid kit items, contact City Stores.
4) Complete the inspection record with the date, person name, and signature of the person performing the inspection.",PT,0.5,,,,,,,,,,,bff4e08246874ff0bf47458196957d63,,
3,SP 36D First Aid Station Inspection for  more than 200 Workers,"https://www.notion.so/Ontario-Regulation-1101-90-Section-373448acde82425e8cd6bc0e46e39fb4, https://www.notion.so/Ontario-Regulation-1101-90-Section-1-1-1-6-Frequency-6dd3cb8ae09d4583a56b6170a1914b5b, https://www.notion.so/Ontario-Regulation-1101-90-Section-11-1-7b1377aea6274ba7a85543a0b43752d2",4.0,Month,,Inspect,"1) Follow the ""First Aid Station"" section in the "" First Aid Requirements"" (SP 36) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-requirements.pdf ]
2) Confirm contents meet Reg. 1101 requirements. Follow appendix D - First Aid Room Checklist. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/first-aid-room.pdf ]
3) For replacement of the First aid kit items, contact City Stores.
4) Complete the inspection record with the date, person name, and signature of the person performing the inspection.",PT,0.5,,,,,,,,,,,5c5f580476d84fc4a92315ad1fad3094,,
4,SP 25 Fixed Vertical Ladder Inspection,https://www.notion.so/Ontario-Regulation-851-90-Section-73-c393d513f9444288a7848b15cfd1b930,1.0,Year,,Inspect,"1) Follow the ""Inspection"" section in the "" Ladders"" (SP 25) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/ladders.pdf ]
2) Inspect the ladder for items listed in the ""General Items To Check"" section in SP 25. [ Ladder Safety Inspection Checklist | http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/appendix-a-ladder-safety-checklist.pdf ]
3) If the ladder exceeds six meters in length and is not securely fastened, or is likely to be endangered by traffic, the ladder has to be held in place by one or more workers while being used.
4) When the ladder is not securely fastened, it has to be inclined so that the horizontal distance from the top support to the foot of the ladder is not less than 1/4 and not more than 1/3 of the length of the ladder.  
5) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.",Ind Mill,0.5,,,,,,,,,No requirement in the standards. The only requirement and procedure is in the SP 25 for the vertical fixed ladder.,,72e58f6552e6450ea89a4575d32e4943,,
5,SP25 Portable Ladder Inspection,,,Pre-use,,Inspect,"1) Follow the ""Inspection"" section in the "" Ladders"" (SP 25) procedure for this activity. [ http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/ladders.pdf ]
2) Inspect the ladder for items listed in the ""General Items To Check"" section in SP 25. [ A complete ""Ladder Safety Inspection Checklist"" SP25a is available for reference. | http://insideto.toronto.ca/clusterb/hr/hns/files/safety-procedures/appendix-a-ladder-safety-checklist.pdf ]
3) If corrective action/repair is required, create a work request with the “Repair from Preventive” work type in WMS to carry out the required repair.
",PT,0.5,,,,,,,,,,,264b1ce8abab4e178ea8e4294d10169a,,
6,Backflow Preventer,https://www.notion.so/Toronto-Municipal-Code-851-Section-851-8-D-11-c-7ada0492d8e44c5592e51af7c3305efb,1.0,Year,,Legislative,"1) Ensure you have operational approval before performing this task.
2) Using the test kit, verify that the backflow preventer will properly isolate the building water from the city water supply.
3) If the backflow preventer failed to properly isolate, initiate an immediate repair to repair the backflow preventer and capture the repair information in a WMS work order with Repair from Preventive work type.
4) Inform operations that the task as assigned is completed.",Ind Mill,0.5,,,,,,,,,Test Procedure missing due to no access to the reqommended source in Toronto muncipal code.,,50d4df3f4f8c44cc9ee1882e4f033a14,,
7,Life Jacket Inspection Annually,https://www.notion.so/CAN-CGSB-2-65-7-2007-Section-95438dc1d3ab48e1be281aa24a49a023,1.0,Year,,Inspect,"1) Inspect the life jacket that it is free of rips, tears, or holes.
2) Inspect shoulder and sleeve areas for separation or slippage.
3) Check the zippers for their smooth movement and for damaged zipper parts.
4) Check all the fasteners such as snaps, buckles, and tug-ties for their good working condition.
5) Inspect that mold or mildew is not present on any part.
6) Inspect for UV damage indicated by significant discoloration or bleaching.
7) Thoroughly inspect all the components for dirt and/or corrosion. 
8) Products that indicate failure in any of the above-given areas must be repaired or replaced. ",PT,0.25,,,,,,,,,,,31c50038d4b346bdb3ff02309fdc557f,,
8,Personal Floatation Device (PFD) A Inspection,https://www.notion.so/CAN-CGSB-65-11-M88-Section-0438d5208f9a4b40a85814bc670b11b2,1.0,Year,,Inspect,"1) Inspect the PFD that it is free of rips, tears, or holes.
2) Inspect shoulder and sleeve areas for separation or slippage.
3) Check the zippers for their smooth movement and for damaged zipper parts.
4) Check all the fasteners such as snaps, buckles, and tug-ties for their good working condition.
5) Inspect that mold or mildew is not present on any part. 
6) Inspect for UV damage indicated by significant discoloration or bleaching.
7) Thoroughly inspect all the components for dirt and/or corrosion.
8) Perform the Oral Inflation Valve Test by fully inflating the PFD using the oral inflator, and then hold the valve under water. If bubbles appear, it means there is a leakage. 
9) Perform the Air Leak Test by orally inflating the PFD unit firm and then let it sit inflated for 16 hours. A PFD with a leak in it will not hold its firmness. 
10) Inspect the Bobbin (for auto-inflate model) to make sure it's still intact and replace if it looks compromised.
11) Inspect the pill to make sure it's still intact and replace the pill if it looks compromised.
12) Products that indicate failure in any of the above-given areas must be repaired or replaced.
13) Record the PFD service day and year with permanent ink on the PFD service record label. ",PT,0.25,,,,,,,,,,,77508a296dc240e7928809e5d8c741fd,,
9,Personal Floatation Device (PFD) B Oral Valve test,https://www.notion.so/CAN-CGSB-65-11-M88-Section-0438d5208f9a4b40a85814bc670b11b2,1.0,Year,,Inspect,"1) Fully inflate the PFD using the oral inflator. 
2) Hold the valve underwater for two minutes. 
3) If bubble appears from the valve, deflate the PFD and re-inflate. 
4) If the PFD valve is still leaking air when underwater, repair/replace the leaking valve/PFD. ",PT,0.25,,,,,,,,,This activity to keep separate or combined as mentioned above?,,3dd296ed27c9430f8133119cd20cb40b,,
